Priority,Sport,Segment,Creator,Platform & Handle,Followers,Style,Why fit
High,Baseball,Show / Gaming (YT+Twitch),Ance Larmstrong,YouTube AnceLarmstrong; Twitch,~21k (2020; current unverified),DD gameplay + ratings predictions,Ratings-prediction content overlaps directly with a ratings-built game
High,Baseball,Round 2 (mixed),Antonelli Baseball (Matt Antonelli),YouTube @AntonelliBaseball; IG/TikTok @antonellibaseball,"~276k YT, ~101k IG",Ex-MLB 1st-rounder; hitting instruction + long-running MLB The Show RTTS career series,Already builds/sims player careers on camera (RTTS); GoatLab is that loop as a free browser game
High,Baseball,X / Twitter,Baseball Doesn't Exist (Joey Duffield),@BaseballDoesnt,~59k X (bigger on YT/TikTok),Absurd deep-dive storytelling,"""Simulate a whole weird career"" is his content shape"
High,Baseball,X / Twitter,Baseball History Nut,@nut_history,~248k,"Historical photos, nostalgia",Purple Legend cards map to his nostalgia audience; high reply engagement
High,Baseball,TikTok / Instagram,Ben Verlander,TikTok/IG @ben_verlander (+ @flippinbatspod),"~184k TikTok, ~144k IG",Ex-pro Fox host (Flippin' Bats),"Does player-rating debates - ""build the perfect pitcher"" is native content"
High,Baseball,TikTok / Instagram,Brett Phillips,IG @brett_phillips8; TikTok @brettmphillips,"~115k IG, ~71k TikTok (11%+ engagement)","Ex-MLB ""Baseball Is Fun"" goofball",Recent MLB player; simulating his own career card is a natural video
Medium-High,Baseball,Round 2 (mixed),BSmile (Bruce Menard),X @BSmile; FB @BaseballByBSmile,"~74k X, ~207k FB","Baseball history/nostalgia, colorized vintage photos",Team-agnostic national MLB-fan reach (Legend cards); cheap
High,Baseball,Round 2 (mixed),Coach DR,TikTok @d.r.hitting; YouTube,~97k TikTok,Simple hitting-concept coaching clips,Engaged skills micro audience; batter mode ties in
High,Baseball,TikTok / Instagram,Dan Blewett,TikTok/IG @coachdanblewett,"~47k TikTok, ~50k IG",Pro-turned-pitching-coach education,"Velo/command/break attributes map 1:1 to his content - ""building the perfect pitcher"" riff"
High,Baseball,X / Twitter,Foolish Baseball,@FoolishBB,~222k,"Statty, witty essayist",Exactly the crowd that argues about slot weights
High,Baseball,Show / Gaming (YT+Twitch),GomesDaLegend,YouTube GomesDaLegend; Twitch gomesdalegend,~113k subs,DD news/commentary,"News format makes a ""check out this game"" segment natural"
High,Baseball,X / Twitter,Immaculate Grid,@immaculategrid,~53k,Daily baseball trivia game,Daily-game share culture = our core acquisition target; cross-promo partner
High,Baseball,Show / Gaming (YT+Twitch),kdjTV,"YouTube @kdjtv611 (""The Show: The Podcast"" host)",unverified (micro),Show tips + creator-interview podcast,Interviews every creator on this list - one cheap spot + network effects into the whole niche
High,Baseball,Round 2 (mixed),Lance Brozdowski,X @LanceBroz; YouTube @lancebroz; Substack,"~35k X, ~6k Substack",Pitching mechanics / Stuff+ data analysis,"Data-driven pitching nerds map onto ""build a pitcher""; cheap for the engagement"
High,Baseball,Round 2 (mixed),OhChev (Evan),Twitch/YouTube/X @OhChev,~57k Twitch (#4-ranked Show 25),"Ex-D1, full-time competitive Show streamer",Core Show ratings audience; affordable
High,Baseball,X / Twitter,Pitcher List (Nick Pollack),@PitcherList,~64k,Fantasy pitching analysis + GIFs,Entire brand is pitcher ratings/rankings
High,Baseball,X / Twitter,Rob Friedman (Pitching Ninja),@PitchingNinja,~560k,Pitch-GIF breakdowns,Most pitcher-obsessed account on X; famously boosts pitching content he likes
High,Baseball,Show / Gaming (YT+Twitch),Scann,YouTube @Scann; Twitch scann; X @TheScann,unverified (mid-size),Community tournaments + commentary,Ran the SDS-backed $5k Scann Community Series - ideal partner for a GoatLab build-off
